description,price,rooms,area,location,floor
BK GAYRİMENKULDEN Y.GİRİŞ 3+1 KELEPİR SATILIK DAİRE,1369000.0,3,120,8,0
 KOÇ-KAR GRUP GÜVENCESİ İLE PURSAKLARDA FULL YAPILI FIRSAT DAİRES...,3750000.0,4,200,7,5
 SİNCAN MALAZGİRT MAHALLESİ SATILIK 3+1 CADDE ÜZERİ DAİRE,1790000.0,3,130,8,4
SİNCAN SELÇUKLUDA SİTE İÇİ BAĞIMSIZ ÖN CEPHE KİLERLİ 3+1 DAİRE!,1769000.0,3,130,8,3
ÇAĞLAYAN'DA TIP FAKÜLTESİ CADDE YAKINI 3+1 BAĞIMSIZ FIRSAT DAİRE,1349000.0,3,120,5,1
 ADNAN KAHVECİ CAD. 1. KAT FULL YAPILI G. ODALI E. BANYOLU ASANSÖ...,3150000.0,4,145,4,1
 EFSANE'DEN BADEMLİKTE'DE KAT KONUMUNDA SATILIK DAİRE ,1500000.0,3,120,4,0
İLKADIMDAN YÜKSELTEPEDE YÜKSEK KATTA CEPHELERİ AÇIK YAPILI 4+1,4250000.0,4,185,4,8
 ALTINDAĞ FERİDUNÇELİK MAH 4 CADDE 4CÜ KAT YAKINI YAPILI SIFIR SA...,2300000.0,3,140,0,4
 PURSAKLAR MEHMET ZENGİN EMLAK'TAN 12.KAT 4+1 MERKEZDE YENİ BİNA ...,4120000.0,4,190,7,12
 PURSAKLAR MEHMET ZENGİN EMLAK'TAN SIFIR ŞIK LÜKS SİTEDE ANAHTAR ...,3600000.0,4,195,7,1
 ETLİK YOZGAT BULVARI YAKINI SİTE İÇİ FULL YAPILI LÜX 4+1 DAİRE,4750000.0,4,210,4,2
 KUPON EMLAKTAN YATIRIM FIRSATI SIFIR BİNADA CEPELERİ AÇIK 2+1 DA...,1950000.0,2,100,4,1
 NASİP EMLAK'TAN 3+1 ASANSÖRLÜ FULL YAPILI MASRAFSIZ KAÇIRILMAYAC...,2550000.0,3,135,7,1
 EŞSİZ YAPISI İLE OLAY YARATAN PROJEDE HAYALLERİNİ GERÇEKLEŞTİR,4900000.0,4,185,4,12
 Kupon Satılık 0 Masrafsız Kıredi İmkanı Yüksek Satılık Daire,2390000.0,3,120,2,1
KEÇİÖRENDE SİTE İÇİNDE MASRAFSIZ 3+1 SATILIK DAİRE,1449000.0,3,135,4,0
Asansörlü 2+1 Bahçekatı,1150000.0,2,95,8,0
" LEVENT'TEN DİKMEN CADDESİ PARALELİ ATAYOLU SOKAKTA 2+1,95M2 YÜKS...",1985000.0,2,95,10,0
 _ÜSTÜNDAĞ'DAN_M.KEMAL'DE_PARK_CEPHELİ_OKUL_DİBİ_KATTA_SIFIR_3+1_,2299000.0,3,135,8,1
MAMAK AKŞEMSEDDİN MAH. 2+1 AMERİKAN MUTFAKLI FULL YAPILI YÜKSEK B...,1440000.0,2,110,5,1
 SİNCAN ANDİÇEN MAHALLESİ SATILIK 3+1 SATILIK DAİRE ARES GAYRİMEN...,1841999.0,3,120,8,1
 SİNCAN MAREŞAL ÇAKMAK MAHALLESİ SATILIK 3+1 DAİRE ARES GAYRİMENK...,1989999.0,3,125,8,2
 YAŞAMKENT AKYILDIZ PRESTİJDE 2+1 GÜVENLİKLİ SATILIK DAİRE,3490000.0,2,85,10,7
ZIRVEKENT TOKIDE MASRAFSIZ SİTE İÇERİSİNDE 2+1,1095000.0,2,90,5,1
 NASİP EMLAK'TAN 6+2 MUHTEŞEM YAPILI 12. KATTA LOFT VİLLA!,11750000.0,6,360,7,12
FikretDeniz’den Sincanda Bu fiyataTek ,780000.0,1,70,8,2
 MEHTAP'DA OKULLAR CADDESİ ÜZERİNDE FULL YAPILI ASANSÖRLÜ 2+1 SAT...,1650000.0,2,100,5,0
 NASİP EMLAK'TAN 6+2 MUHTEŞEM YAPILI 12. KATTA LOFT VİLLA!,11750000.0,6,360,7,12
FikretDeniz’den Sincanda Bu fiyataTek ,780000.0,1,70,8,2
 MEHTAP'DA OKULLAR CADDESİ ÜZERİNDE FULL YAPILI ASANSÖRLÜ 2+1 SAT...,1650000.0,2,100,5,0
 ÜNSAL'DAN | SÜPER PROJE MEVA ŞEHİR'DE | 1.99 ORAN | 4+1 DELUX,7549000.0,4,250,2,13
 AHİMESUT MAHALLESİ 4+1 SIFIR YAPIDA ARES GAYRİMENKUL'DEN LÜKS SA...,5950000.0,4,160,2,4
 İSTASYON MAHALLESİ 2+1 SIFIR SATLIK DAİRE ARES GAYRİMENKUL' DEN,2549999.0,2,100,2,0
HAS'TAN MUSTAFA KEMAL MAH. 145 M2 3.5+1 KİLERLİ FULL YAPILI,2939000.0,3,155,8,1
SİNCAN TANDOĞAN MAH 1ARAKAT ÖN CEPHE GENİŞ MASRAFSIZ DAİRE,1159000.0,2,95,8,1
 İSTASYON MAHALLESİ 3+1 SIFIR SATILIK DAİRELER ARES GAYRİMENKUL' ...,3149999.0,3,115,2,0
 EFSANE'DEN KUŞCAĞIZDA 1.KAT O BİNA DA YAPILI SATILIK DAİRE,2149000.0,2,130,4,1
İSTASYON MAHALLESİ 3+1 SIFIR DAİRELER ARES GAYRİMENKUL' DEN,3869999.0,3,140,2,2
  2 BLOKLU SİTE İÇERİSİNDE GENİŞ MUTFAKLI HASTANEYE ULAŞIMI KOLAY,3130000.0,3,150,4,2
GENÇ BİNADA 3+1 120 M2 ASANSÖRLÜ TERASLI MANTOLAMLI BALKONLU,2690000.0,3,160,10,1
 EMEKTE YENİ LÜKS BİNADA 4+1 TERASLI ARKA DUBLEKS,8750000.0,4,170,10,4
MAMAK NATA VEGA CEPHELİ VADİ MANZARA EVLERİ SATILIK 3+1 DAİRE,3500000.0,3,145,5,4
TOPRAK EMLAKTAN ANK KEÇİÖREN YEŞİLTEPE MAHALLESINDE 3+1 DAIRE ,2190000.0,3,140,4,1
" BEŞEVLER M.F.Ç CAD 1+1 YENİ LÜKS ÖN YÜKSEK GİRİŞ "" KUPON DAİRE""",3900000.0,1,55,10,0
 YILMAZ'DAN YÜKSELEN FİYATLARA İNAT CADDE'DE İSKANLI MONTALAMALI,825000.0,2,85,5,2
" ALTINDAĞ - BEŞİKKAYA MAHALLESİNDE ASANSÖRLÜ, ARA KATTA 3+1 SATIL...",1585000.0,3,120,0,1
 SİNCAN PLEVNE'DE CADDE ÜZERİ FULL YAPILI MASRAFSIZ GÖMÜSÜZ LÜX D...,1266000.0,2,100,8,0
TOPRAK EMLAKTAN ANK KEÇİÖREN OSMANGAZİ MAHALLESİ 3+1 DAIRE,1695000.0,3,140,4,0
SİNCAN AKŞEMSETTİN MAH .ÖN 1ARAKAT EBEVEYN BANYOLU AYIN FIRSATI,1579000.0,3,120,8,1
"KOÇ'DAN; MEVLANA BULVARI PARALELİ , 4+1 , ASANSÖRLÜ , KOMBİLİ , B...",2049000.0,4,135,10,1
 İNCİRLİ MAHALLESİNDE ALTINDA İKİ KAT DAİRE 2+1 YAPILI FIRSAT DAİ...,1659000.0,2,115,4,1
 YAKACIK'TA SIFIR ULTRA LÜX KATTA 3+1 YAPILI DAİRE!!!,2499000.0,3,130,4,5
" ALTINDAĞ ALİBEY GÖBEKTE ARA KATTA,ÇİFT BALKONLU 3+1 SATILIK KUPO...",1575000.0,3,120,0,2
 ÇETİN EMLAK'TAN TANDOGAN MAH.DE ULTRA LÜKS YAPILI 3+1 1 ARA KAT ,1858000.0,3,135,8,1
CEM EMLAKTAN DEMETEVLERDE SATILIK DAIRE,1400000.0,3,130,9,1
 BAĞLUM KAFKAS MAHALLESİNDE BU FİYATA SIFIR DAİRE KALMADI !!!,1690000.0,2,110,4,0
 KAYA EMLAK TAN SARAYIN EN GÖZEL YERİNDE,3650000.0,3,165,7,5
SYM'DEN PLEVNEDE 1. ARA KATTA KAÇIRILMAYACAK FULL+ FULL YAPILI 3+...,1859000.0,3,130,8,1
 ANKARA ETİMESGUT YAPRACIK LODOS MODERN 2+1 LÜKS DAİRELER,3000000.0,2,95,2,6
 ANKARA ETİMESGUT YAPRACIK LODOS İDEAL PROJESİ 2+1 LÜKS DAİRELER,3300000.0,2,95,2,7
 ANKARA ETİMESGUT YAPRACIK LODOS MODERN 2+1 LÜKS DAİRELER,2700000.0,2,75,2,5
" KARAPÜRÇEK MAHALLESİNDE DİŞ HASTANESİ YAKININDA, ASANSÖRLÜ 2+1 S...",1024000.0,2,90,0,0
SİNCAN GAZİOSMANPAŞA MAH SİTE İÇİNDE ÖN 1.ARAKAT SATILIK DAİRE,1749000.0,3,120,8,1
 GENERAL ZEKİ DOĞAN MAHALLESİ'NDE SATILIK 2+1 BAHÇEKATI DAİRE,1300000.0,2,110,5,0
 FARABİ SOKAK'TA KÖŞE KONUMLU BAKIMLI 3+1 SATILIK FIRSAT DAİRE,4490000.0,3,120,10,3
 ATAPARK BÖLGESİNDE HERŞEY AYAĞINIZIN DİBİNDE BU DAİRE KAÇMAZ,2400000.0,3,130,4,2
SİNCAN FATİH MAH.DE 2+1 ARAKAT UYGUN KELEPİR SATILIK DAİRE,1159000.0,2,80,8,2
 ETİMESGUT SÜVARİ MAH.6+1 ULTRA LÜKS YAPILI TERASLI SATILIK DAİRE,2899000.0,6,240,2,3
 SYM GAYRİMENKUL'DEN HAFTANIN KAÇIRILMAYACAK YAPILI 2+1 UYGUN DAİ...,1266000.0,2,90,8,0
 SİNCAN PLEVNE MH FULL YAPILI CADDE ÜZERİ GÜNEY CEPHE FIRSAT DAİR...,1266000.0,2,105,8,0
SİNAN CADDESİ ÜZERİ 3+1 125 M2 2.KAT KİLERLİ LÜKS YAPILI YILIN SO...,3050000.0,3,130,10,2
 ÇANKAYA DOĞUŞ MAH.'NDE 3+1 ARA KATTA SATILIK DAİRE,2800000.0,3,110,10,3
 ▄KALE▄HAFTANIN FIRSATI! SULTAN FATİH CADDE 50M MASRAFSIZ 3+1SİTE,2369000.0,3,140,5,6
ＰＵＳＵＬＡ ＥＭＬＡＫ'ＤＡＮ MALAZGİRT CADDESİ ÜZERİNDE 3+1 GENİŞ DAİRE,2150000.0,3,125,0,1
 ZAFER ÇELİK EMLAK'TAN GENİŞ OTURUMA HAZIR 2+1 MASRAFSIZ DAİRE,1689000.0,2,105,4,0
NATA VEGA KONUTLARI EŞYALI PEYZAJ VE ŞEHİR MANZARALI DAİRE,7300000.0,3,152,5,19
SANCAK MAHALLESİ MERKEZİ KONUMDA 4+1 SATILIK DAİRE,4990000.0,4,180,10,2
"NATA VEGA KONUTLARI'NDA BAKIMLI, MASRAFSIZ 3+1 SATILIK DAİRE",5299000.0,3,160,5,0
"ÇANKAYA, KEKLİKPINARI, WATERFALL CİTY'DE SATILIK 4+1 LÜKS DAİRE",7500000.0,4,200,10,6
AYDINLIKEVLER MERKEZ'DE KATTA 3+1 SATILIK DAİRE - TANER EMLAK,2445000.0,3,105,0,1
ANKARA SİNCAN PINARBAŞI MAHALLESİ ŞOK FİYAT,1089000.0,3,125,8,0
ALTINDAĞ BAŞPINAR DA MASRAFSIZ KATTA 3+1 İSKANLI SÜPERLÜX DAİRE,1995000.0,3,140,0,1
KABİL VE LİZBON CAD YAKINI YOKUŞSUZ 3+1 130M2 KAT KONUMNDA MANTL,2690000.0,3,130,10,1
"KOÇ'DAN ; 2+1 + 2 BANYO + KİLER'Lİ , LÜX YAPILI , KOT-1'DE , ARA ...",2050000.0,2,110,10,1
"KOÇ'DAN ; ASANSÖRLÜ , 3+1, KOMBİLİ , ASANSÖRLÜ, ÇOK İYİ LOKASYOND...",2750000.0,3,125,10,2
"KOÇ'DAN ; BAHÇE ÇIKIŞLI , 2+1, S.LÜX YAPILI, SOKULLU ANA CADDE VE...",1750000.0,2,105,10,1
 YAPRACIK ODTÜ BLOKLARINDA SATILIK ARA KAT DUBLEKS 4+1 DAİRE,3200000.0,4,170,2,1
 SYM'DEN MALAZGİRT'TE ARA KATTA TASARIMIYLA DİKKAT ÇEKEN 3+1 DAİR...,2179000.0,3,130,8,2
 GÖLBAŞI KARŞIYAKA MAHALLESİNDE SATILIK 3+1 DAİRE,2850000.0,3,140,3,2
 ATATÜRK MAH DE MERKEZDE MANTOLAMALI ÖN CEPHE 3+1 DAİRE,1549000.0,3,120,8,4
 SYM GAYRİMENKUL'DEN MAREŞAL ÇAKMAK'TA 3+1 ARA KATTA YAPILI DAİRE,1885000.0,3,120,8,3
SİNCAN OSMANLI MAH 3+1 SİTE İÇİNDE BAĞIMSIZ KATTA ÖN CEPHE DAİRE,1649000.0,3,130,8,4
 SYM GAYRİMENKUL'DEN ARA KATTA BAĞIMSIZ FERAH LÜX YAPILI 3+1!!!,1875000.0,3,130,8,1
 SYM GAYRİMENKUL'DEN KATTA CADDE CEPHELİ ULTRA LÜX YAPILI 3+1!!!,1859000.0,3,130,8,4
 SYM GAYRİMENKUL'DEN ARA KATTA EBEVEYN BANYOLU ULTRA  LÜX YAPILI ...,2089000.0,3,130,8,3
 SYM GAYRİMENKUL'DEN ARA KATTA ŞIK TASARIMIYLA DİKKAT ÇEKEN 3+1!!...,2049000.0,3,130,8,2
 SYM GAYRİMENKUL'DEN BAĞIMSIZ 3+1 HAFTANIN KAÇIRILMAYACAK DAİRESİ...,1269000.0,3,120,8,0
FIRSAT!!!! FİYAT DÜŞTÜ  PURSAKLARIN GÖZBEBEĞİ SİTEDE BU FİYATA KA...,4100000.0,4,200,7,13
Ankara Çankaya Gop Satılık 3+1 Eşyalı Daire,8500000.0,3,150,10,1
Özçelik Grup Emlaktan Altındağın Parlayan Yıldızı Altınşehir TOKİ...,1975000.0,3,140,0,2
YILDIRIM EMLAK’TAN 8.CADDE’DE 5.KAT MANZARALI KUPON DAİRE,2139000.0,3,135,0,5
YCL DEN BAĞLAR CADDESİNDE SATILIK 3+1 DAİRE,2000000.0,3,110,10,3
YENİKENT 29 EKİM MAHALLESİ SATILIK OTURUMA HAZIR 4+1 DAİRELER,2100000.0,4,130,8,0
 AKŞEMSETTİN MAHALLESİNDE KATTA 3+1 YAPILI BAĞIMSIZ DAİRE,1479000.0,3,130,8,3
GOLD EMLAK'TAN  MERKEZİ LOKASYONDA SATILIK 3+1  FIRSAT DAİRE!!!!,2490000.0,3,130,4,1
 OSMANGAZİDE BÖLGESİNE GÖRE TERTEMİZ DAİRE FIRSATI!!,2449000.0,3,145,4,4
İLKADIMDAN ÇİFT MUTFAK ÇİFT BANYO KAPALI TERASLI 6+1 MANZARALI,4500000.0,6,250,9,5
İLKADIMDAN AVCILAR MAH. SİTE İÇİ TELEFERİĞE YÜRÜME MESAFESİNDE,3300000.0,3,140,9,6
ANKARA GOLBAŞI KARŞIYAKA MALLESİNDE SIFIR 1+1 DAİRE,2400000.0,1,60,3,4
2023 YILIN FIRSATI 5+1 300 M2 ÇİFT MTFKLI GENİŞ K.TERASLI O.MANZ,4299000.0,5,300,10,4
GOLD EMLAKTAN CADDE ÜSTÜ ETLİK ŞEHİR VE GÜLHANE HASTANESİ YAKINI ...,1515000.0,3,115,4,1
YILBAŞINA ÖZEL 2+1 YATIRIMA UYGUN KELEPİR SATILIK DAİRE,880000.0,2,75,8,5
GÖLBAŞI ŞAFAK MAHALLESİNDE SATILIK 3+1 YÜKSEK GİRİŞ DAİRE,2375000.0,3,110,3,0
 PLEVNE MAHALLESİNDE FULL YAPILI 3+1 SATILIK DAİRE,1785000.0,3,135,8,2
 AYDINLIKREVLER'DE LÜKS 1 YILLIK 3+1 DUBLEKS DAİRE - TANER EMLAK,5350000.0,3,138,0,3
 GOLD EMLAK'TAN SEVAL CADDESİ YAKIN SİTE İÇİ ÖNÜ AÇIK GENİŞ YAPIL...,3635000.0,3,160,9,5
BK GAYRİMENKULDEN YEŞİLOVA MAH. SATILIK ARA KAT DAİRE,2850000.0,3,140,2,2
YILBAŞINA ÖZEL 2+1 YATIRIMA UYGUN KELEPİR SATILIK DAİRE,880000.0,2,75,8,5
GÖLBAŞI ŞAFAK MAHALLESİNDE SATILIK 3+1 YÜKSEK GİRİŞ DAİRE,2375000.0,3,110,3,0
 PLEVNE MAHALLESİNDE FULL YAPILI 3+1 SATILIK DAİRE,1785000.0,3,135,8,2
 AYDINLIKREVLER'DE LÜKS 1 YILLIK 3+1 DUBLEKS DAİRE - TANER EMLAK,5350000.0,3,138,0,3
 GOLD EMLAK'TAN SEVAL CADDESİ YAKIN SİTE İÇİ ÖNÜ AÇIK GENİŞ YAPIL...,3635000.0,3,160,9,5
BK GAYRİMENKULDEN YEŞİLOVA MAH. SATILIK ARA KAT DAİRE,2850000.0,3,140,2,2
SİNCAN PLEVNE MAH ÖN CEPHE YAPILI GENİŞ 8500 TL KİRACILI DAİRE,1659000.0,3,120,8,1
ANKARA MAMAK ŞAHİNTEPE MAH ,1380000.0,3,115,5,0
 BERAT EMLAKTAN TANDOĞAN MAHALLESİNDE 3+1 FULL YAPILI FİYATI UYGU...,1629000.0,3,120,8,3
 ŞAHİNER'DEN 19 MAYIS MAH 3+1 ÖN CEPHE YAPILI DAİRE,2650000.0,3,135,4,3
 KUZEY EMLAKTAN MANZARALI TERAS BALKONLU 3+1 SATILIK DAİRE,2945000.0,3,140,0,2
TANDOĞAN MAHALLESİ  3+1 SATILIK TERS DUBLEX KAÇIRILMAYACAK FIRSAT,1250000.0,3,110,8,1
ANKARA MANZARALI SİTEDE ULTRA LÜX 5+2 DUBLEX DAİRE ,3500000.0,6,350,10,14
GOP TURGUTLU SOKAK'TA MANZARALI CEPHELERİ AÇIK KATTA 3+1 DAİRE,5500000.0,3,165,10,2
MAMAK ŞAHİNTEPE SATILIK 3+1 ARAKAT DAİRE,1750000.0,3,120,5,2
 KEÇİÖREN ESERTEPE MAH.'NDE 3+1 ASANSÖRLÜ SATILIK DAİRE,1675000.0,3,110,4,1
 ALİBEY'DEN RAGIP TÜZÜN CADDESİ YAKINI 2+1 ORTA KAT ACİL SATILIK ...,1239000.0,2,89,4,2
 NATA VEGA YAK. DOĞUKENT BULV. SİTEDE SIFIR ULTRA LÜX 3+1 DAİRE,3650000.0,3,140,5,2
YILDIRIM EMLAK’TAN MERKEZİ KONUMDA 3+1 DAİRELER ,2800000.0,3,130,5,2
 ETLİK_Merkez'de_L.Hekim_Hast_Karşısı_Full_Yapılı_Masrafsız_125m2,1729000.0,3,135,4,0
 MİLLİOĞLU İNŞAAT'TAN ANKARA KARAAĞAÇ'TA SATILIK 2+1 DAİRE,1450000.0,2,100,5,0
BİR EMLAK'TAN CEVİZLİDERE'DE KAT KONUMUNDA FUL YAPILI3+1 SATILIK,3000000.0,3,135,10,1
"KUPON"" ALTAY SOKAK'TA KAT EKSİĞİ OLAN BİNADA 2+1 70 M2 DAİRE",1550000.0,2,75,10,2
KIZILAY GMK BULVAR CADDE CEPHELİ ASANSÖRLÜ HOME&OFİSE UYGUN 3+1,2400000.0,3,110,10,5
RÜYA EMLAKTAN ŞEHİTLER METROSUNA YAKIN KATTA BAĞIMSIZ 3+1  DAİRE,2875000.0,3,120,4,1
 AKŞEMSETTİN MAH DE ARA KATTA KREDİ LİMİTSİZ ÖN CEPHE 3+1 DAİRE,1429000.0,3,120,8,3
" KIRKKONAKLAR'DA CADDE YAKINI, SIFIR, KATTA 2+1 DAİRE",3600000.0,2,90,10,3
İncekte ayrı mutfaklı 2+1 Dubleks fırsatı,3300000.0,2,120,3,0
DENİZ FENERİ PARKI YAKINI CADDEYE YAKIN 2+1 BAHÇE KATI,985000.0,2,95,0,2
YENİMAHALLE RAGIP TÜZÜN CADDESİNE 1 BİNA 6+1 300m2 2 DAİRE KONSEP...,4150000.0,6,345,9,0
ETİMESGUT YEŞİLOVA MAH 3+1 FULL YAPILI ARA KATTA 10 YILLIK BİNA,2849000.0,3,150,2,2
SİNCAN MARAŞALÇAKMAK MAH 120 M2 GENİŞ ULTRA LÜKS YAPILI DAİRE,1799000.0,3,120,8,3
 PINARBAŞI MAH DE ARA KATTA DEPREM PROJELİ ULTRA LÜX YAPILI 3+1 D...,2350000.0,3,140,8,1
GOP YAKINI YATIRIMLIK İSTEYENLERE KİRA GETİRİLİ GİRİŞ KAT 1+1,1950000.0,1,50,10,0
ÇANKAYA LİFE'DEN GOP YAKINI ARA KATLARDA SIFIR SON 3+1 DAİRELER,3990000.0,3,125,10,3
 SÜPER DEGERLİ BİR KONUMDA-HEM YATIRIMLIK HEM OTURUMLUK,3015000.0,3,120,10,2
 ERSU DAN ÖVEÇLER KABİL CADDE DE 3+1  ÇİFT BANYOLU- ASANSÖRLÜ-ARA...,4460000.0,3,145,10,2
 PINARBAŞI MAH DE ULTRA LÜKS YAPILI MERKEZİ KONUMDA 3+1 DAİRE,1969000.0,3,120,8,3
Etlik_Bağcı_Cad._Paraleli_Lüx_Yapıda_Asansörlü_Ş.manzaralı_4.5+2,2589000.0,5,245,4,3
İLKADIM'DAN TEK BLOKLU SİTE İÇİ ÖN CEPHE TERAS BALKONLU 4+1,3995000.0,4,180,4,6
İLKADIM'DAN ŞEHİTKUBİLAY'DA ARA KATTA BATI CEPHE İSKANLI 3+1,2400000.0,3,135,4,2
BAHÇELİ 1.CADDEDE 1.KAT ÖN 2+1  KOMBİLİ,2850000.0,2,95,10,1
 TUNA GAYRİMENKUL'DEN SATILIK ŞENTEPE'DE MÜSTAKİL DAİRE,3300000.0,3,150,6,0
"BİR EMLAK'TAN AKPINAR'DA 3+1 SATILIK DA,RE",2550000.0,3,120,10,1
 YENİ EVİM GAYRİMENKUL'DEN MÜKEMMEL KONUMDA SİTE İÇİNDE 4+1 SATIL...,2490000.0,4,175,0,2
ÇANKAYA AYRANCI HOŞDERE CD PARALEL 2+1 FULL YAPILI SATILIK DAİRE,3250000.0,2,110,10,1
KIZILAY NECATİBEYDE SATILIK OFİS,1800000.0,2,75,10,6
 OSMANGAZİ MAHALLESİNDE FULL YAPILI GİRİŞ KATTA EMSALSİZ DAİRE,1673000.0,3,135,4,0
 KEÇİÖRENDE FULL YAPILI 3+1 KÖŞEBAŞI FULL YAPILI MASRAFSIZ,1850000.0,3,135,4,3
Yaşam Kule'de FIRSAT net 60 M2 1+1 Güney Cephe Kapalı Otoparklı,3695000.0,1,70,10,18
 EMPA AYDINLIKEVLER'DEN SUBAY EVLERİ KÖKNAR SOK SATILIK YÜKSEK Gİ...,1750000.0,2,95,4,0
EMAKS'TAN/CEVİZLİDERE CAD.ÜZERİ/ANKARA MANZARALI/FIRSAT 3+1,2850000.0,3,105,10,3
MAMAK MUTLU’DA 3+1 2.KATTA ASANSÖRLÜ FULL YAPILI KÖŞEBAŞI ÖNÜ AÇI...,1790000.0,3,115,5,2
" ANKALİFEDEN""BAGLUM HİSAR MAHALELSİNDE 3+1 ",1750000.0,3,120,4,2
 ERSU DAN YENİMAHALLE METRO TELEFERİK İLK DURAĞINDA KATTA DUBLEKS...,2550000.0,2,90,9,2
 ŞAHİNER'DEN TEPEBAŞI MAH 2+1 ÖN CEPHE NORMAL YAPILI DAİRE,1580000.0,2,110,4,0
 SAMSUN YOLUNA CEPHE YATIRIMLIK KENTSEL DÖNÜŞÜME UYGUN 3+1 DAİRE,1440000.0,3,135,0,1
PUSULADAN PINARBAŞINDA 2+1FULL YAPILI YGİRİŞ ÖN CEPHE 7 YILLIK,1329000.0,2,105,8,0
 ETİMESGUT AYYILDIZ MAH. 3+1 FULL YAPILI S.İÇİ SATILIK DAİRELER,4399000.0,3,160,2,3
 ŞAHİNER'DEN TEPEBAŞI MAH 3+1 ARKA CEPHE BAHÇE KATI NORMAL YAPILI...,1299000.0,3,110,4,1
